vidid, AestheticScore
IJJRckcyk1s, 4.67409035237506
MXOnKxgLj5Q, 5.019982166122645
4TES-BjZrVM, 5.075938403606415
Fp2M_8O9-uo, 5.282506890594959
1Kb8QQsUmuQ, 4.6864569038152695
zachVVtj0uU, 4.51198389736237
qAbY81Uu9qs, 4.83190649561584
cJ9JXa7EZII, 4.594628756865859
v5pyPW35z00, 4.569834562949836
TOLdwEppoiI, 4.769835171289742
OiUBbvNSMK8, 5.242144830990583
o9S1IdPhK5U, 4.888406565529294
Q-1DoJMehQM, 4.650613558478653
TI3Ew5rM8Ss, 5.157221737506916
GPYHAoqQWn4, 4.464012709446251
b0qTXEUGaJQ, 5.3606095493305475
R9cKhCycWFs, 4.9923206474632025
7GRnuNYfOeQ, 5.018264092504978
DqnsKjq9AHI, 5.0688588173361495
4E0_pR3IHiE, 5.059756397269666
dKX-px0BGlw, 4.604852370917797
6Py4w7bF7Rw, 5.386530478484929
KiB-MJ75OmI, 5.304935283726081
koI2aKxrQnw, 5.270400590496138
60z9YBv9Ksw, 4.355821342207491
799uhYUxtvA, 4.9452837677672505
4TkGC-6Osnk, 4.6066559420432895
7YGZZcXqKxE, 5.115454004146159
tKurWiCxNHc, 5.000686138286255
Qj5C-G6RIjc, 4.906860729679465
hmf23DvkjoA, 4.85715519124642
I2wLiyWg7NY, 5.0066190753132105
5kuHd7mBNuQ, 4.871322001912631
kLMEMl2XLOs, 5.086391418240964
95PAfV_SwXE, 5.388707817415707
ZMd9R9Y20sU, 4.773095694370568
zcnhHmYahnc, 4.950245003215969
VgRpkaRclA8, 5.068130867322907
MRs4pbueVvY, 5.471181561937556
zIFLUVtU7aM, 4.973953239619732
sjS9NEqz3ZI, 5.08003573177848
FYV6kXNlfHA, 5.221285595558584
DYtKB7oqTUY, 4.768167107598856
W0Oqh2P_qxU, 5.157052304944955
Ir9AsWXYWQc, 4.4429585710167885
ctONKQByx-M, 5.038272173609585
nZX8docryPA, 4.597595728002489
8bXhsUs-ohw, 5.331157160893781
Uz66ptmjptg, 4.948197665158659
WEpD-xlnoZI, 5.076931035146117
1jndo_dAHb0, 5.003368772100657
vzYMLX8xvzw, 4.848079689312726
uLYefSYAMvc, 4.747292384621687
8HzxeW2Hw30, 5.122948089498095
QIV-33oJRGE, 4.865877163596451
OfiETPFpfho, 5.2107080451678485
NklNbsajcJQ, 4.820896393619478
1tmdiGvvzzw, 4.881045835092664
AzBtyEjWeyM, 4.408809292246588
7qUQ9NcmYuY, 4.99706724321004
2kpggAXrifY, 4.544086387031712
uqcZaq543Zc, 4.894801218062639
ephj7bqwQww, 5.106998916744487
dCxnao6bYZE, 5.192012662999332
J7tR0uR4T08, 5.2148900590837
aevPz4H38R0, 4.614667146932334
ENzKTuQpAlo, 5.044262310490012
TsLd8pXU7w4, 5.420523856300861
8iPLyg1DfrM, 4.412641300004907
a9Y7AJkfq4s, 4.518290150794201
cFqdd7LwJ4U, 4.688419156824239
JdTsrqaXntk, 4.794787837774493
ClgBEHuNtT4, 4.954057348892093
widsBRA3ywY, 4.370988465845585
RKjovflET48, 4.895097251981497
OdW7vhYYSdM, 5.256791688269004
CB7vK1sYk94, 4.863732814003015
dZ_pgNMXhoQ, 5.022076852270402
1Tky5s7gej8, 4.166848404798657
Q6vVuj3iggE, 4.604583036387339
xLK2cPonC4U, 4.43282115412876
mkEpNOsGxKA, 5.155601438251324
AfMgrVAvaZc, 5.201010546181351
eoJxaz3VtuE, 5.445301847998053
GrdLmHsrpb8, 4.504436643794179
XxCwYZerFnw, 5.242093190550804
6YRf8FsjEXQ, 4.728701166342944
OTQwTrYjJWM, 5.074215253815055
zMCEkkpAl_o, 5.136195624247193
XB65-hz-RkQ, 4.998128429055214
35CZ8XX_3-Y, 5.1146777456160635
hjctllD-xXU, 4.554474072880112
qSHsLSRWvhc, 4.574674886185676
jznc6hYoq54, 5.00946885405574
QJePSDaQHKI, 5.00215866509825
EgIzDeC-Fto, 4.523831624654122
MMN6qa8E3vQ, 4.7947687490377575
lMn9OO71yac, 4.728589520789683
o8VXd1w4Pls, 5.313516272697598
c_SIDk6TW_k, 4.794651239179075
9PSR_LNIu6E, 4.8720938940532506
B19nlhbA7-E, 5.079591143876314
5rYhRn1x3FM, 4.6283689888659865
